Original Hotel Name,Hotel Name,Geometry,restaurant,shopping_mall,tourist_attraction,cafe,bar,supermarket,park,point_of_interest,lodging,museum
Drury Inn & Suites Phoenix Tempe,Drury Inn & Suites Denver Central Park,"{'lat': 39.7788714, 'lng': -104.8815593}",3,1,0,0,0,0,0,18,8,0
Hyatt Place Phoenix/downtown,Hyatt Place Phoenix / Downtown,"{'lat': 33.44942899999999, 'lng': -112.0761901}",1,0,1,0,2,0,0,18,13,1
Extended Stay America Select Suites - Phoenix - North,Extended Stay America Select Suites - Phoenix - North,"{'lat': 33.5661724, 'lng': -112.1177771}",4,0,0,2,2,1,0,18,8,0
Kimpton Hotel Palomar Phoenix Cityscape,Kimpton Hotel Palomar Phoenix,"{'lat': 33.447393, 'lng': -112.073269}",1,0,1,0,2,0,0,18,13,1
Days Inn & Suites by Wyndham Surprise,My seven days inn,"{'lat': 1.5075084, 'lng': 103.9133597}",0,1,0,0,0,1,0,18,8,0
Holiday Inn Express & Suites Phoenix – Tempe,"Holiday Inn Express & Suites Singapore Novena, an IHG Hotel","{'lat': 1.3201291, 'lng': 103.8525169}",0,0,0,0,0,0,0,18,18,0
The Aloha,The Aloha,"{'lat': 33.3107045, 'lng': -111.8411175}",1,0,0,0,1,1,0,18,3,0
Super 8 by Wyndham - Mesa/Gilbert,Super 8 by Wyndham Phoenix/Mesa/Gilbert Road,"{'lat': 33.387455, 'lng': -111.7896461}",5,0,1,0,0,1,1,18,4,0
Cambria Hotel Downtown Phoenix Convention Center,Cambria Hotel Downtown Phoenix Convention Center,"{'lat': 33.4601411, 'lng': -112.0699}",1,0,1,0,1,0,0,18,14,1
Comfort Suites Peoria Sports Complex,Comfort Suites Peoria Sports Complex,"{'lat': 33.6368035, 'lng': -112.2367329}",4,1,0,0,1,0,0,18,6,0
Holiday Inn Express And Suites Phoenix - Airport North,Holiday Inn Express & Suites Phoenix - Airport North,"{'lat': 33.45658239999999, 'lng': -111.9881493}",0,0,1,0,0,0,1,18,16,1
Hilton Vacation Club Scottsdale Links Resort,Hilton Vacation Club Scottsdale Links Resort,"{'lat': 33.6409372, 'lng': -111.896816}",3,1,0,0,0,0,0,18,14,0
Hampton Inn & Suites Phoenix Downtown,Hilton Garden Inn Singapore Serangoon,"{'lat': 1.3083868, 'lng': 103.8520416}",0,0,0,0,0,0,0,18,18,0
Extended Stay America Suites - Phoenix - Midtown,Extended Stay America - Phoenix - Midtown,"{'lat': 33.4867832, 'lng': -112.0772757}",0,0,0,0,0,0,0,18,17,0
Sonesta Select Phoenix Chandler,Sonesta Select Phoenix Chandler,"{'lat': 33.3182976, 'lng': -111.9705247}",3,0,0,0,1,0,0,18,7,0
Best Western InnSuites Phoenix Hotel and Suites,Best Western Innsuites Phoenix Hotel & Suites,"{'lat': 33.5541075, 'lng': -112.0474255}",4,0,0,0,2,0,0,18,3,0
Wingate by Wyndham Chandler/Phoenix,Wingate by Wyndham Chandler,"{'lat': 33.303385, 'lng': -111.9704617}",3,0,0,0,1,0,0,18,8,0
Days Hotel by Wyndham Mesa Near Phoenix,Days Hotel by Wyndham Mesa Near Phoenix,"{'lat': 33.3819316, 'lng': -111.8387823}",1,0,1,0,0,0,0,18,11,0
La Quinta Inn & Suites by Wyndham Phoenix I-10 West,La Quinta by Wyndham Ellerslie Auckland,"{'lat': -36.90231050000001, 'lng': 174.8094373}",4,0,0,0,1,0,0,18,16,0
La Quinta Inn & Suites by Wyndham Phoenix West Peoria,La Quinta by Wyndham Ellerslie Auckland,"{'lat': -36.90231050000001, 'lng': 174.8094373}",4,0,0,0,1,0,0,18,16,0
AC Hotel by Marriott Phoenix Downtown,AC Hotel by Marriott Phoenix Downtown,"{'lat': 33.4533137, 'lng': -112.067781}",1,0,1,0,2,0,0,18,14,1
Motel 6 Scottsdale,"Motel 6 Scottsdale, AZ - Old town Scottsdale/Fashion Square","{'lat': 33.5031071, 'lng': -111.9331041}",1,0,0,0,1,0,0,18,18,0
Comfort Inn and Suites Surprise Near Sun City West,Comfort Inn & Suites Surprise Near Sun City West,"{'lat': 33.6363396, 'lng': -112.32843}",1,0,0,0,1,0,0,18,6,0
Holiday Inn and Suites Phoenix Airport North,"Holiday Inn & Suites Phoenix Airport North, an IHG Hotel","{'lat': 33.4643143, 'lng': -111.9865458}",1,0,2,0,0,0,1,18,14,1
American Executive Inn Mesa,American Executive Inn Mesa,"{'lat': 33.4150163, 'lng': -111.8649435}",1,0,0,0,1,0,0,18,11,0
Hilton Garden Inn Phoenix Airport North,Hilton Garden Inn Phoenix Airport North,"{'lat': 33.4516586, 'lng': -111.9974634}",0,0,0,0,0,0,0,18,17,0
Days Hotel by Wyndham Peoria Glendale Area,Days Hotel by Wyndham Peoria Glendale Area,"{'lat': 33.5907934, 'lng': -112.2515722}",2,0,0,0,1,1,0,18,1,0
Extended Stay America Suites - Phoenix - Scottsdale,Extended Stay America - Phoenix - Scottsdale - Old Town,"{'lat': 33.4888921, 'lng': -111.928914}",1,0,1,0,1,0,1,18,17,1
Red Roof PLUS+ Phoenix West,Red Roof PLUS+ Phoenix West,"{'lat': 33.4643801, 'lng': -112.1716638}",1,0,0,0,0,0,0,18,8,0
Drury Inn & Suites Phoenix Airport,Drury Inn & Suites Denver Central Park,"{'lat': 39.7788714, 'lng': -104.8815593}",3,1,0,0,0,0,0,18,8,0
Doubletree by Hilton Phoenix - Tempe,DoubleTree by Hilton Hotel Phoenix Tempe,"{'lat': 33.4065953, 'lng': -111.9617156}",1,0,0,0,0,0,0,18,18,0
Best Western Plus Chandler Hotel & Suites,Best Western Plus Chandler Hotel & Suites,"{'lat': 33.27943020000001, 'lng': -111.9638514}",2,0,0,0,1,0,0,18,8,0
Hilton Phoenix Resort at the Peak,Hilton Phoenix Resort at the Peak,"{'lat': 33.5479156, 'lng': -112.0471345}",4,0,0,0,2,0,0,18,7,0
Metro PHX STUDIO QUEEN sleeps 4 HEATED POOL,No information found,N/A,0,0,0,0,0,0,0,0,0,0
Extended Stay America Suites - Phoenix - Mesa - West,Extended Stay America - Phoenix - Mesa - West,"{'lat': 33.3828944, 'lng': -111.8739778}",0,0,1,0,0,0,0,18,10,0
Hilton Los Angeles Airport,Hilton Los Angeles Airport,"{'lat': 33.9462252, 'lng': -118.3816294}",0,0,0,0,0,0,0,18,18,0
Sonesta Los Angeles Airport LAX,Sonesta Los Angeles Airport LAX,"{'lat': 33.9464969, 'lng': -118.3891988}",0,0,0,0,0,0,0,18,18,0
Kings Inn Anaheim at The Park & Convention Center,Kings Inn Anaheim at The Park & Convention Center,"{'lat': 33.8045037, 'lng': -117.9130001}",0,0,0,0,0,0,0,18,18,0
The LINE Hotel,The Line Restaurant,"{'lat': 1.3111934, 'lng': 103.8267875}",0,1,0,0,0,0,0,18,15,0
The Godfrey Hotel Hollywood,The Godfrey Hotel Hollywood,"{'lat': 34.0964334, 'lng': -118.3293935}",0,0,0,0,0,0,0,18,18,0
Lincoln Hotel Monterey Park/Los Angeles,Lincoln Hotel Monterey Park/Los Angeles,"{'lat': 34.0617407, 'lng': -118.1213353}",1,0,0,0,0,1,0,18,8,0
Hollywood Inn Suites Hotel,Hollywood Inn Suites Hotel,"{'lat': 33.9161457, 'lng': -118.2929901}",1,0,2,0,1,0,0,18,9,0
Crestridge Inn,CRESTRIDGE INN,"{'lat': 33.9451349, 'lng': -118.3493452}",0,0,0,0,0,0,0,18,18,0
Freehand Los Angeles,Freehand Los Angeles,"{'lat': 34.0447551, 'lng': -118.2564556}",1,0,0,0,1,0,0,18,18,0
H by H Hospitality,H Hotel,"{'lat': 34.0576035, 'lng': -118.2979384}",4,0,0,0,2,0,0,18,10,0
Hollywood Palms Inn & Suites,Hollywood Palms Inn & Suites,"{'lat': 34.0985102, 'lng': -118.3207582}",0,0,0,0,0,0,0,18,18,0
Antonio Hotel Downtown Los Angeles near Hollywood,Antonio Hotel,"{'lat': 34.0459451, 'lng': -118.2087454}",3,0,1,0,0,0,0,18,1,0
Days Inn by Wyndham Buena Park,Days Inn by Wyndham Buena Park,"{'lat': 33.8569821, 'lng': -117.9994867}",1,0,1,0,0,0,0,18,15,0
Sheraton Los Angeles San Gabriel,Sheraton Los Angeles San Gabriel,"{'lat': 34.0803721, 'lng': -118.0968991}",2,0,0,0,0,1,0,18,7,0
Sheraton Gateway Los Angeles Hotel,Sheraton Gateway Los Angeles Hotel,"{'lat': 33.9464489, 'lng': -118.3907235}",0,0,0,0,0,0,0,18,18,0
La Quinta Inn & Suites by Wyndham LAX,La Quinta by Wyndham Ellerslie Auckland,"{'lat': -36.90231050000001, 'lng': 174.8094373}",4,0,0,0,1,0,0,18,16,0
Lincoln Motel,Lincoln Motel,"{'lat': -43.6412373, 'lng': 172.4828192}",2,0,0,1,1,0,0,18,3,0
Beachside Inn Anaheim,Beach Side Inn Anaheim,"{'lat': 33.8224488, 'lng': -117.9937962}",1,0,1,0,0,0,0,18,16,0
E Central Hotel Downtown Los Angeles,E-Central Downtown Los Angeles Hotel,"{'lat': 34.0443197, 'lng': -118.2641283}",2,0,0,0,1,0,0,18,16,0
Holiday Inn Los Angeles - LAX Airport,"Holiday Inn Los Angeles - LAX Airport, an IHG Hotel","{'lat': 33.94620099999999, 'lng': -118.370919}",0,0,0,0,0,0,0,18,18,0
Mikado Hotel,Mikado Hotel,"{'lat': 1.5285822, 'lng': 103.6643093}",1,0,0,0,0,0,0,18,16,0
The Delphi,The Delphi Downtown LA,"{'lat': 34.050205, 'lng': -118.2569793}",1,0,0,0,1,0,0,18,18,0
Patio Motel,Patio motel,"{'lat': 33.9060638, 'lng': -118.3006402}",1,0,2,0,1,1,0,18,12,0
Glendale Express Hotel,Glendale Express Hotel,"{'lat': 34.1549131, 'lng': -118.2635344}",1,1,1,0,1,0,1,18,10,0
Queens Inn Anaheim,Queens Inn Anaheim near The Park & Convention Center,"{'lat': 33.7959992, 'lng': -117.9159531}",0,0,0,0,0,0,0,18,18,0
The Queen Mary Hotel,The Queen Mary,"{'lat': 33.7526356, 'lng': -118.1903235}",2,0,4,0,1,0,0,18,12,1
Garden Suite Hotel,Garden Suite Hotel,"{'lat': 34.06045750000001, 'lng': -118.309431}",6,0,0,0,2,0,0,18,7,0
Aventura Hotel,Universal's Aventura Hotel,"{'lat': 28.4653748, 'lng': -81.47098679999999}",0,0,0,0,0,0,0,18,18,0
Hotel Koxie,Hotel Koxie,"{'lat': 34.0529042, 'lng': -118.3124505}",6,0,0,0,2,0,0,18,8,0
Hilton Pasadena Hotel,Hilton Pasadena,"{'lat': 34.1427889, 'lng': -118.1406771}",3,0,1,0,2,0,0,18,10,0
The Westin Los Angeles Airport,The Westin Los Angeles Airport,"{'lat': 33.9447393, 'lng': -118.3737646}",0,0,0,0,0,0,0,18,18,0
Luxe Sunset Boulevard Hotel,Luxe Sunset Boulevard Hotel,"{'lat': 34.0722226, 'lng': -118.4682289}",2,0,1,0,1,0,1,18,3,1
Samesun Hollywood (formerly Walk of Fame Hostel),Samesun Hollywood,"{'lat': 34.1014, 'lng': -118.3393841}",0,0,0,0,0,0,0,18,18,0
The Anza - A Calabasas Hotel,The Anza A Calabasas Hotel,"{'lat': 34.156957, 'lng': -118.642124}",3,1,0,1,1,0,0,18,5,0
Redondo Pier Inn,Redondo Pier Inn,"{'lat': 33.839777, 'lng': -118.3853068}",0,1,0,0,0,0,0,18,17,0
Travelodge by Wyndham Long Beach Convention Center,Travelodge by Wyndham Long Beach Convention Center,"{'lat': 33.7679099, 'lng': -118.1847915}",0,0,3,0,0,0,0,18,15,1
Sheraton Universal Hotel,Sheraton Universal Hotel,"{'lat': 34.1374974, 'lng': -118.3600099}",0,0,0,0,0,0,0,18,18,0
Travelodge by Wyndham Commerce Los Angeles Area,Travelodge by Wyndham Commerce Los Angeles Area,"{'lat': 33.9736301, 'lng': -118.1227374}",1,0,0,1,1,0,0,18,8,0
Moxy Downtown Los Angeles,Moxy Downtown Los Angeles,"{'lat': 34.0405188, 'lng': -118.267291}",2,0,0,0,1,0,0,18,15,0
Days Inn by Wyndham Los Angeles LAX/ Redondo&ManhattanBeach,Days Inn Hotel by Wyndham Los Angeles LAX Airport,"{'lat': 33.9616967, 'lng': -118.3723774}",0,0,0,0,0,0,0,18,18,0
Ramada by Wyndham Hawthorne/LAX,Ramada by Wyndham Hawthorne/LA Stadium,"{'lat': 33.9161177, 'lng': -118.3720178}",0,0,0,0,0,0,0,18,18,0
Ocean View Hotel,Fragrance Hotel - Ocean View,"{'lat': 1.292355, 'lng': 103.768469}",2,0,1,0,0,0,1,18,5,0
Good Nite Inn Calabasas,Good Nite Inn Calabasas Malibu,"{'lat': 34.1434865, 'lng': -118.702466}",0,0,1,0,0,0,1,18,2,0
Holiday Inn Express Hotel & Suites Los Angeles Airport Hawthorne,"Holiday Inn Express Singapore Clarke Quay, an IHG Hotel","{'lat': 1.2891213, 'lng': 103.8419682}",3,3,1,1,0,0,0,18,10,0
Extended Stay America Suites - Los Angeles - La Mirada,Extended Stay America - Los Angeles - La Mirada,"{'lat': 33.87871030000001, 'lng': -118.0163072}",1,0,1,0,0,0,0,18,13,0
Ramada by Wyndham Los Angeles/Wilshire Center,Ramada by Wyndham Los Angeles/Koreatown West,"{'lat': 34.0612854, 'lng': -118.3113116}",6,0,0,0,2,0,0,18,7,0
Crystal Inn Suites & Spas,Crystal Inn Suites & Spas LAX,"{'lat': 33.9333891, 'lng': -118.3448467}",0,0,0,0,0,0,0,18,18,0
Ramada Plaza by Wyndham West Hollywood Hotel & Suites,Ramada Plaza by Wyndham West Hollywood Hotel & Suites,"{'lat': 34.0886972, 'lng': -118.3788052}",1,1,0,0,2,0,0,18,16,0
Ramada by Wyndham Pasadena,Ramada by Wyndham Pasadena,"{'lat': 34.1456771, 'lng': -118.1057298}",1,0,0,0,1,0,0,18,14,0
Ace Hotel Downtown Los Angeles,STILE Downtown Los Angeles by Kasa,"{'lat': 34.0418769, 'lng': -118.2570341}",2,0,0,0,1,0,0,18,16,0
Beverly Laurel Motor Hotel,Beverly Laurel Motor Hotel,"{'lat': 34.0758812, 'lng': -118.3645065}",3,2,1,0,1,0,0,18,10,1
Beverly Hills Plaza Hotel and Spa,Beverly Hills Plaza Hotel & Spa,"{'lat': 34.0677284, 'lng': -118.4260329}",1,0,0,0,1,0,0,18,10,0
Extended Stay America Suites - Los Angeles - Torrance Harborgate Way,Extended Stay America - Los Angeles - Torrance Harborgate Way,"{'lat': 33.8560594, 'lng': -118.3029216}",1,0,1,0,0,0,0,18,15,0
Hilton Los Angeles/Universal City,Hilton Los Angeles/Universal City,"{'lat': 34.1369506, 'lng': -118.3584005}",0,0,0,0,0,0,0,18,18,0
Comfort Inn Cockatoo Near LAX Airport,Comfort Inn Cockatoo Near LAX Airport,"{'lat': 33.929846, 'lng': -118.350938}",0,0,0,0,0,0,0,18,18,0
H3 Inn & Suites - LAX Aiport - Los Angeles,H3 Inn & Suites - LAX Airport,"{'lat': 33.9456363, 'lng': -118.3604403}",0,0,0,0,0,0,0,18,18,0
Miyako Hotel Los Angeles,Miyako Hotel Los Angeles,"{'lat': 34.0496484, 'lng': -118.2402017}",3,0,0,1,1,0,0,18,15,0
Ramada by Wyndham Anaheim Convention Center,Ramada by Wyndham Anaheim Convention Center,"{'lat': 33.7969635, 'lng': -117.9141942}",0,0,0,0,0,0,0,18,18,0
The LINE Hotel,The Line Restaurant,"{'lat': 1.3111934, 'lng': 103.8267875}",0,1,0,0,0,0,0,18,15,0
Hyatt Regency Los Angeles International Airport,Hyatt Regency Los Angeles International Airport,"{'lat': 33.946178, 'lng': -118.3955891}",0,0,0,0,0,0,0,18,18,0
Rumi hostel - Adults Only,The Rumi,"{'lat': 34.0570317, 'lng': -118.3075775}",6,0,0,0,2,0,0,18,7,0
Pasadena Hotel & Pool,Pasadena Hotel & Pool,"{'lat': 34.1457437, 'lng': -118.1310491}",2,0,1,0,1,0,0,18,11,0
Howard Johnson by Wyndham Torrance,Howard Johnson by Wyndham Torrance,"{'lat': 33.8383601, 'lng': -118.3513312}",0,1,0,0,0,0,0,18,17,0
Sofitel Los Angeles at Beverly Hills Hotel,Sofitel Los Angeles at Beverly Hills,"{'lat': 34.0764178, 'lng': -118.3775087}",1,1,0,0,1,0,0,18,16,0
The Live Hotel,The Live Hotel,"{'lat': 34.0512016, 'lng': -118.2777256}",2,0,0,0,1,0,0,18,15,0
Buena Park Grand Hotel & Suites,Buena Park Grand Hotel & Suites,"{'lat': 33.8499756, 'lng': -117.9974529}",1,0,1,0,0,0,0,18,15,0
Extended Stay America Suites - Orange County - Anaheim Hills,Extended Stay America - Orange County - Anaheim Hills,"{'lat': 33.8521435, 'lng': -117.839949}",2,0,2,0,2,1,0,18,7,0
The Westin Bonaventure Hotel and Suites,"The Westin Bonaventure Hotel & Suites, Los Angeles","{'lat': 34.0527773, 'lng': -118.255596}",1,0,0,0,1,0,0,18,18,0
Solara Inn and Suites,Solara Inn and Suites,"{'lat': 33.8208333, 'lng': -117.9155556}",0,0,0,0,0,0,0,18,18,0
Hollywood Inn Express LAX,Hollywood Inn Express LAX,"{'lat': 33.9452874, 'lng': -118.3505321}",0,0,0,0,0,0,0,18,18,0
Airtel Plaza Hotel,Airtel Plaza Hotel,"{'lat': 34.2023522, 'lng': -118.4866596}",1,0,1,1,0,0,1,18,3,0
Wyndham Canterbury at San Francisco,Club Wyndham Canterbury,"{'lat': 37.7888347, 'lng': -122.4127618}",0,0,0,0,0,0,0,18,18,0
Crowne Plaza San Francisco Airport,"Crowne Plaza San Francisco Airport, an IHG Hotel","{'lat': 37.5900099, 'lng': -122.3596198}",0,0,0,0,0,0,0,18,18,0
Holiday Inn San Francisco - Golden Gateway,"Holiday Inn San Francisco-Golden Gateway, an IHG Hotel","{'lat': 37.7898079, 'lng': -122.4219471}",0,0,0,0,0,0,0,18,18,0
Club Quarters Hotel in San Francisco,"Club Quarters Hotel Embarcadero, San Francisco","{'lat': 37.7952311, 'lng': -122.4006767}",0,0,0,0,0,0,0,18,18,0
The LINE Hotel San Francisco,The LINE San Francisco,"{'lat': 37.783081, 'lng': -122.409969}",0,0,0,0,0,0,0,18,18,0
The Donatello,The Donatello,"{'lat': 37.7878653, 'lng': -122.4104163}",0,0,0,0,0,0,0,18,18,0
SF Central Hotel,Hotel Grand Central,"{'lat': 1.3013335, 'lng': 103.8416861}",1,0,0,0,0,0,0,18,18,0
Hotel Nikko San Francisco,Hotel Nikko San Francisco,"{'lat': 37.7860399, 'lng': -122.4093066}",0,0,0,0,0,0,0,18,18,0
LUMA Hotel San Francisco,LUMA Hotel San Francisco,"{'lat': 37.7748367, 'lng': -122.3902919}",0,1,1,0,0,0,0,18,14,0
Travelodge by Wyndham San Francisco Airport North,Travelodge by Wyndham San Francisco Airport North,"{'lat': 37.6453311, 'lng': -122.4053809}",0,0,0,0,0,0,0,18,18,0
King George Hotel,King George Hotel,"{'lat': 37.7867767, 'lng': -122.4092908}",0,0,0,0,0,0,0,18,18,0
