Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Homewood Suites by Hilton Colorado Springs-North,8.6 out of 10 Excellent,764 verified reviews,8.8/10,9.0/10,8.0/10,8.6/10,7.6/10
Hilton Garden Inn Colorado Springs,7.8 out of 10 Good,999 verified reviews,8.6/10,8.2/10,7.2/10,8.0/10,7.8/10
Hilton Garden Inn Colorado Springs Airport,9.0 out of 10 Wonderful,711 verified reviews,9.4/10,9.0/10,8.6/10,9.2/10,8.6/10
Super 8 by Wyndham Colorado Springs/Chestnut Street,5.8 out of 10,503 verified reviews,6.0/10,7.0/10,5.8/10,5.6/10,6.6/10
"Holiday Inn Express Colorado Springs Airport, an IHG Hotel",8.2 out of 10 Very good,670 verified reviews,8.6/10,8.8/10,8.0/10,8.2/10,8.4/10
Extended Stay America Select Suites - Colorado Springs - Airport,5.6 out of 10,536 verified reviews,6.0/10,6.2/10,4.2/10,5.8/10,4.8/10
Rodeway Inn Central Colorado Springs,5.6 out of 10,634 verified reviews,5.8/10,6.8/10,5.4/10,5.2/10,5.6/10
Hampton Inn Colorado Springs Northeast,9.6 out of 10 Exceptional,65 verified reviews,9.6/10,9.6/10,9.8/10,9.6/10,9.4/10
Colorado Springs Marriott,8.2 out of 10 Very good,"1,001 verified reviews",8.6/10,8.6/10,8.4/10,8.4/10,8.6/10
The Lodge at Flying Horse,9.4 out of 10 Exceptional,629 verified reviews,9.8/10,9.6/10,9.4/10,9.8/10,9.2/10
SpringHill Suites Marriott Colorado Springs South,8.8 out of 10 Excellent,"1,002 verified reviews",9.4/10,9.0/10,8.4/10,9.0/10,8.8/10
Comfort Suites Colorado Springs East -Medical Center Area,9.0 out of 10 Wonderful,171 verified reviews,9.4/10,9.0/10,8.8/10,9.2/10,9.2/10
Comfort Inn North - Air Force Academy Area,8.0 out of 10 Very good,468 verified reviews,8.0/10,8.6/10,7.8/10,7.4/10,7.6/10
Days Inn by Wyndham Colorado Springs Airport,4.6 out of 10,"1,000 verified reviews",4.8/10,5.6/10,4.2/10,4.4/10,4.6/10
Fairfield Inn & Suites Colorado Springs Air Force Academy,8.6 out of 10 Excellent,549 verified reviews,9.0/10,9.0/10,8.0/10,8.6/10,8.8/10
TownePlace Suites Colorado Springs South,8.4 out of 10 Very good,285 verified reviews,9.0/10,8.8/10,7.2/10,8.8/10,7.8/10
Great Wolf Lodge Colorado Springs,9.0 out of 10 Wonderful,535 verified reviews,9.4/10,9.2/10,9.0/10,9.4/10,9.0/10
Fairfield Inn & Suites by Marriott Colorado Springs East/Ballpark,9.4 out of 10 Exceptional,242 verified reviews,9.6/10,9.6/10,9.0/10,9.6/10,9.4/10
Econo Lodge North Academy,6.6 out of 10 Good,"1,000 verified reviews",6.8/10,7.2/10,6.2/10,6.2/10,6.2/10
Embassy Suites by Hilton Colorado Springs,8.4 out of 10 Very good,"1,002 verified reviews",8.4/10,8.8/10,8.4/10,8.0/10,8.4/10
Garden of the Gods Motel,8.2 out of 10 Very good,575 verified reviews,8.4/10,8.8/10,7.6/10,7.8/10,8.2/10
The Outlook Lodge,9.6 out of 10 Exceptional,145 verified reviews,9.8/10,9.4/10,9.8/10,9.6/10,9.6/10
Hampton Inn & Suites Colorado Springs/Air Force Academy,9.0 out of 10 Wonderful,768 verified reviews,9.4/10,9.4/10,8.8/10,9.2/10,9.0/10
WoodSpring Suites Colorado Springs North - Air Force Academy,7.2 out of 10 Good,219 verified reviews,8.4/10,7.8/10,6.8/10,8.0/10,8.0/10
Super 8 by Wyndham Fountain,6.2 out of 10 Good,756 verified reviews,6.4/10,6.8/10,5.8/10,6.0/10,6.8/10
Residence Inn by Marriott Colorado Springs North/Air Force Academy,9.0 out of 10 Wonderful,553 verified reviews,9.0/10,9.2/10,8.6/10,9.0/10,9.0/10
Courtyard by Marriott Colorado Springs North/Air Force Academy,9.4 out of 10 Exceptional,180 verified reviews,9.6/10,9.2/10,9.6/10,9.6/10,9.4/10
SpringHill Suites by Marriott Colorado Springs North/Air Force Academy,9.0 out of 10 Wonderful,429 verified reviews,9.6/10,9.2/10,9.0/10,9.4/10,8.8/10
Fairfield Inn & Suites Colorado Springs N./Air Force Academy,8.8 out of 10 Excellent,831 verified reviews,9.0/10,9.0/10,8.4/10,9.0/10,8.4/10
The Green Mountain Falls Lodge,8.4 out of 10 Very good,160 verified reviews,8.6/10,8.6/10,7.6/10,8.4/10,8.2/10
ColoRADo Adventure Hostel,8.6 out of 10 Excellent,188 verified reviews,8.4/10,9.2/10,8.4/10,8.2/10,9.2/10
Eagle Fire Lodge & Cabins,8.6 out of 10 Excellent,694 verified reviews,9.0/10,8.8/10,8.8/10,8.6/10,9.2/10
Microtel Inn & Suites by Wyndham Woodland Park,8.6 out of 10 Excellent,324 verified reviews,9.2/10,9.0/10,8.0/10,9.2/10,8.8/10
Golden Nugget Cripple Creek,8.4 out of 10 Very good,895 verified reviews,9.0/10,8.6/10,7.8/10,8.8/10,8.6/10
Hotel St. Nicholas,9.4 out of 10 Exceptional,176 verified reviews,9.4/10,9.6/10,8.8/10,9.2/10,9.2/10
Midnight Rose & McGills Hotel & Casino,8.2 out of 10 Very good,366 verified reviews,8.6/10,8.6/10,8.2/10,8.2/10,8.8/10
Century Casino & Hotel Cripple Creek,9.0 out of 10 Wonderful,"1,000 verified reviews",9.2/10,9.2/10,8.6/10,8.8/10,8.6/10
Cripple Creek Hospitality House & Travel Park,9.6 out of 10 Exceptional,537 verified reviews,9.8/10,9.8/10,9.0/10,9.6/10,9.4/10
Dawn of Hope Ranch,8.8 out of 10 Excellent,11 verified reviews,9.6/10,9.6/10,8.8/10,9.2/10,8.6/10
Best Western Canon City,8.4 out of 10 Very good,"1,000 verified reviews",8.6/10,8.8/10,8.2/10,8.4/10,8.4/10
Hampton Inn Canon City,8.2 out of 10 Very good,"1,000 verified reviews",8.6/10,8.6/10,7.4/10,8.2/10,7.8/10
Quality Inn & Suites Canon City,7.2 out of 10 Good,600 verified reviews,7.4/10,8.0/10,7.2/10,6.6/10,7.2/10
Suburban Studios Canon City,6.8 out of 10 Good,6 verified reviews,6.8/10,8.8/10,7.0/10,6.4/10,5.6/10
Budget Host Royal Gorge Inn,8.2 out of 10 Very good,153 verified reviews,8.0/10,9.4/10,7.0/10,7.4/10,8.0/10
"Motel 6 Canon City, CO",6.6 out of 10 Good,297 verified reviews,6.6/10,8.0/10,5.8/10,6.4/10,6.4/10
Super 8 by Wyndham Canon City,7.8 out of 10 Good,"1,000 verified reviews",8.0/10,8.0/10,6.8/10,7.6/10,7.0/10
Quality Inn & Suites West,8.6 out of 10 Excellent,698 verified reviews,8.8/10,8.6/10,8.8/10,8.6/10,8.6/10
Econo Lodge,7.4 out of 10 Good,867 verified reviews,7.6/10,8.2/10,6.8/10,7.0/10,7.4/10
Parkview Inn Motel,9.2 out of 10 Wonderful,"1,000 verified reviews",9.6/10,9.6/10,8.6/10,9.2/10,8.8/10
Hampton Inn & Suites Pueblo/North,8.6 out of 10 Excellent,785 verified reviews,9.0/10,8.8/10,8.4/10,8.8/10,8.4/10
La Quinta Inn & Suites by Wyndham Pueblo,7.8 out of 10 Good,"1,001 verified reviews",7.8/10,8.6/10,7.4/10,7.6/10,7.8/10
Best Western Plus Eagleridge Inn & Suites,8.4 out of 10 Very good,736 verified reviews,8.8/10,8.8/10,8.2/10,8.6/10,8.4/10
Wingate by Wyndham Pueblo,9.4 out of 10 Exceptional,"1,002 verified reviews",9.4/10,9.6/10,9.2/10,9.4/10,9.0/10
Travelodge by Wyndham Pueblo,6.6 out of 10 Good,228 verified reviews,6.4/10,7.6/10,6.4/10,5.8/10,6.6/10
Quality Inn I-25,8.8 out of 10 Excellent,"1,000 verified reviews",8.8/10,9.0/10,8.2/10,8.6/10,8.2/10
Econo Lodge Pueblo,7.6 out of 10 Good,820 verified reviews,7.8/10,8.0/10,6.4/10,7.4/10,6.6/10
"Candlewood Suites Pueblo, an IHG Hotel",8.6 out of 10 Excellent,95 verified reviews,8.8/10,8.6/10,8.2/10,8.8/10,8.2/10
"Holiday Inn Express & Suites Pueblo North, an IHG Hotel",8.4 out of 10 Very good,616 verified reviews,8.6/10,8.6/10,8.0/10,8.4/10,8.6/10
Days Inn by Wyndham Pueblo,6.6 out of 10 Good,874 verified reviews,6.8/10,7.2/10,6.6/10,6.2/10,6.0/10
Quality Inn & Suites Castle Rock/SW Denver,8.2 out of 10 Very good,226 verified reviews,8.8/10,8.6/10,8.4/10,8.6/10,8.6/10
Baymont by Wyndham Pueblo,7.2 out of 10 Good,"1,060 verified reviews",7.6/10,7.6/10,7.0/10,7.2/10,7.6/10
"Motel 6 Pueblo, CO - I-25",5.4 out of 10,"1,000 verified reviews",5.8/10,6.6/10,4.8/10,5.4/10,5.2/10
OYO Hotel Castle Rock CO Downtown,6.2 out of 10 Good,952 verified reviews,6.6/10,7.2/10,6.2/10,6.2/10,6.6/10
Super 8 by Wyndham Pueblo,6.0 out of 10 Good,"1,000 verified reviews",6.4/10,7.0/10,5.4/10,5.8/10,5.4/10
Comfort Inn & Suites Pueblo,7.8 out of 10 Good,633 verified reviews,8.2/10,8.4/10,7.6/10,7.8/10,8.0/10
Clarion Inn and Events Center Pueblo North,5.6 out of 10,"1,000 verified reviews",6.0/10,6.8/10,5.0/10,5.2/10,5.4/10
Days Inn & Suites by Wyndham Castle Rock,7.4 out of 10 Good,999 verified reviews,7.6/10,7.8/10,7.0/10,7.2/10,7.2/10
Comfort Suites Castle Rock,8.2 out of 10 Very good,938 verified reviews,8.4/10,8.4/10,7.8/10,8.0/10,7.6/10
Hampton Inn Castle Rock,8.8 out of 10 Excellent,598 verified reviews,9.0/10,9.0/10,8.0/10,8.6/10,8.6/10
Santa Fe Inn Pueblo,5.6 out of 10,388 verified reviews,5.6/10,6.6/10,5.8/10,5.2/10,4.4/10
Courtyard by Marriott Pueblo Downtown,8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.0/10,7.8/10,8.6/10,8.4/10
