Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Hilton Checkers Los Angeles,7.8 out of 10 Good,"1,000 verified reviews",8.4/10,8.0/10,7.6/10,8.0/10,8.2/10
Hilton Garden Inn Los Angeles/Hollywood,7.8 out of 10 Good,"1,000 verified reviews",8.2/10,8.4/10,7.6/10,8.0/10,7.8/10
Sofitel LA at Beverly Hills,8.6 out of 10 Excellent,"1,050 verified reviews",9.0/10,9.0/10,8.2/10,8.4/10,8.6/10
The Rosemary Silverlake,8.6 out of 10 Excellent,42 verified reviews,9.0/10,8.6/10,8.6/10,9.2/10,8.8/10
Palihotel Melrose,8.0 out of 10 Very good,841 verified reviews,8.8/10,8.6/10,7.2/10,8.0/10,7.8/10
La Quinta Inn & Suites by Wyndham LAX,7.4 out of 10 Good,"3,804 verified reviews",8.0/10,7.8/10,7.4/10,7.6/10,7.6/10
Conrad Los Angeles,9.4 out of 10 Exceptional,125 verified reviews,9.8/10,9.6/10,9.6/10,9.8/10,9.6/10
Royal Pagoda Motel,8.2 out of 10 Very good,359 verified reviews,8.4/10,8.6/10,7.4/10,8.0/10,8.0/10
The Hotel Hollywood,8.0 out of 10 Very good,267 verified reviews,8.4/10,8.6/10,7.2/10,7.8/10,7.8/10
DoubleTree by Hilton Los Angeles - Commerce,8.2 out of 10 Very good,"1,000 verified reviews",8.4/10,8.6/10,8.0/10,8.2/10,8.4/10
"O Hotel by LuxUrban, Trademark Collection by Wyndham",8.0 out of 10 Very good,"1,002 verified reviews",8.4/10,8.4/10,7.6/10,7.8/10,8.4/10
"The Westin Bonaventure Hotel and Suites, Los Angeles",8.2 out of 10 Very good,"2,941 verified reviews",8.6/10,8.4/10,8.2/10,8.4/10,8.4/10
"Hotel Figueroa, an Unbound Collection by Hyatt",9.0 out of 10 Wonderful,"1,001 verified reviews",9.4/10,9.2/10,8.8/10,9.0/10,8.8/10
"Holiday Inn Express Los Angeles Airport, an IHG Hotel",9.2 out of 10 Wonderful,"1,310 verified reviews",9.4/10,9.4/10,8.8/10,9.2/10,9.0/10
Garden Suite Hotel,7.0 out of 10 Good,"1,000 verified reviews",7.2/10,7.4/10,6.8/10,6.8/10,7.0/10
The Hoxton Downtown LA,9.2 out of 10 Wonderful,750 verified reviews,9.6/10,9.4/10,8.8/10,9.4/10,9.0/10
Hotel Bel-Air - Dorchester Collection,9.8 out of 10 Exceptional,340 verified reviews,10.0/10,9.8/10,9.4/10,9.8/10,9.2/10
Seaway Motel,8.4 out of 10 Very good,245 verified reviews,8.6/10,8.6/10,7.4/10,8.2/10,8.0/10
Carlyle Inn,8.0 out of 10 Very good,807 verified reviews,8.6/10,8.4/10,7.2/10,7.8/10,7.6/10
Homewood Suites by Hilton Los Angeles International Airport,8.4 out of 10 Very good,"1,003 verified reviews",8.8/10,8.6/10,8.2/10,8.6/10,8.4/10
Moxy Downtown Los Angeles,7.6 out of 10 Good,388 verified reviews,8.6/10,8.4/10,7.8/10,8.4/10,8.2/10
Omni Los Angeles Hotel at California Plaza,9.0 out of 10 Wonderful,"1,837 verified reviews",9.2/10,9.2/10,8.8/10,9.0/10,9.0/10
"Kimpton Everly Hotel Hollywood, an IHG Hotel",8.6 out of 10 Excellent,"1,000 verified reviews",8.8/10,8.8/10,8.4/10,8.8/10,8.6/10
Hotel Koxie,7.2 out of 10 Good,973 verified reviews,7.4/10,7.4/10,6.8/10,6.8/10,7.4/10
Best Western Plus Commerce Hotel,8.0 out of 10 Very good,"1,001 verified reviews",8.2/10,8.2/10,8.6/10,7.8/10,8.8/10
Kodō Hotel,10 out of 10 Exceptional,2 verified reviews,10.0/10,10.0/10,10.0/10,10.0/10,10.0/10
Plaza La Reina,9.4 out of 10 Exceptional,999 verified reviews,9.6/10,9.4/10,9.0/10,9.6/10,9.2/10
Beverly Hills Marriott,7.8 out of 10 Good,"1,000 verified reviews",8.0/10,8.0/10,7.6/10,8.0/10,8.2/10
The Lexmar Dodger Stadium Hollywood,7.0 out of 10 Good,514 verified reviews,7.6/10,7.6/10,6.4/10,7.2/10,7.2/10
Palihotel Hollywood,8.8 out of 10 Excellent,275 verified reviews,9.4/10,9.2/10,9.0/10,9.2/10,8.8/10
Comfort Inn Los Angeles near Hollywood,8.0 out of 10 Very good,"1,001 verified reviews",8.6/10,8.4/10,7.8/10,8.0/10,7.8/10
Sonder The Craftsman,9.6 out of 10 Exceptional,74 verified reviews,9.6/10,9.8/10,9.6/10,9.8/10,9.6/10
L.A. Sky Boutique Hotel,7.4 out of 10 Good,538 verified reviews,8.0/10,8.0/10,6.8/10,7.2/10,7.4/10
Rodeway Inn near Melrose Ave,7.2 out of 10 Good,801 verified reviews,7.6/10,7.4/10,7.6/10,6.8/10,7.8/10
Hollywood Downtowner,7.2 out of 10 Good,999 verified reviews,7.0/10,7.8/10,7.4/10,6.4/10,7.8/10
Best Western Plus Dragon Gate Inn,8.4 out of 10 Very good,"1,001 verified reviews",9.0/10,8.8/10,8.0/10,8.6/10,8.4/10
Wilshire Crest Hotel Los Angeles,8.0 out of 10 Very good,"1,000 verified reviews",8.4/10,8.2/10,7.4/10,7.8/10,8.2/10
Palihotel Westwood Village,9.0 out of 10 Wonderful,999 verified reviews,9.6/10,9.2/10,8.4/10,9.2/10,8.8/10
Rodeway Inn Los Angeles Convention Center,7.0 out of 10 Good,"1,000 verified reviews",7.4/10,7.6/10,6.0/10,6.8/10,6.2/10
"Dream Hollywood, by Hyatt",8.2 out of 10 Very good,"1,000 verified reviews",9.0/10,8.6/10,8.2/10,8.8/10,8.6/10
Hampton Inn & Suites Los Angeles/Hollywood,9.0 out of 10 Wonderful,"1,292 verified reviews",9.2/10,9.4/10,9.0/10,9.2/10,8.8/10
Ramada by Wyndham Los Angeles/Koreatown West,7.4 out of 10 Good,"1,000 verified reviews",7.4/10,8.0/10,7.0/10,6.8/10,7.2/10
La PodLife,9.8 out of 10 Exceptional,41 verified reviews,10.0/10,9.8/10,9.6/10,9.8/10,9.6/10
Hollywood Stars Inn - In Los Angeles (Hollywood),6.8 out of 10 Good,999 verified reviews,7.0/10,6.8/10,6.2/10,6.2/10,6.8/10
Best Western Royal Palace Inn & Suites,8.0 out of 10 Very good,"1,000 verified reviews",8.2/10,8.6/10,7.6/10,7.6/10,7.6/10
"Hotel Indigo Los Angeles Downtown, an IHG Hotel",8.4 out of 10 Very good,"1,029 verified reviews",8.8/10,8.6/10,8.4/10,8.8/10,8.6/10
Fairmont Century Plaza,9.2 out of 10 Wonderful,234 verified reviews,9.8/10,9.4/10,9.6/10,9.6/10,9.4/10
JW Marriott Los Angeles L.A. LIVE,9.2 out of 10 Wonderful,"1,001 verified reviews",9.6/10,9.4/10,9.4/10,9.6/10,9.2/10
Embassy Suites by Hilton Los Angeles International Airport North,7.6 out of 10 Good,"1,068 verified reviews",8.0/10,8.0/10,7.4/10,7.8/10,8.0/10
The Aster,9.4 out of 10 Exceptional,106 verified reviews,10.0/10,9.2/10,9.2/10,9.6/10,9.6/10
Quality Inn Near Hollywood Walk of Fame,7.6 out of 10 Good,"1,001 verified reviews",7.6/10,7.8/10,7.2/10,7.4/10,7.4/10
Residence Inn by Marriott Los Angeles LAX/Century Boulevard,8.6 out of 10 Excellent,"1,356 verified reviews",9.0/10,8.8/10,8.6/10,8.8/10,8.6/10
Sonder The Winfield,9.2 out of 10 Wonderful,153 verified reviews,9.6/10,9.4/10,9.0/10,9.6/10,9.2/10
Fairmont Century Plaza Gold Experience,9.6 out of 10 Exceptional,18 verified reviews,9.6/10,9.6/10,10.0/10,9.6/10,9.2/10
Mama Shelter Los Angeles,8.6 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.2/10,8.0/10,8.8/10,8.6/10
Residence Inn by Marriott Beverly Hills,8.2 out of 10 Very good,"1,000 verified reviews",8.8/10,8.6/10,7.8/10,8.2/10,7.8/10
Park Plaza Lodge Hotel,8.4 out of 10 Very good,999 verified reviews,8.6/10,9.0/10,8.0/10,7.8/10,9.0/10
"The Wayfarer Downtown LA, Tapestry Collection by Hilton",8.0 out of 10 Very good,724 verified reviews,8.8/10,8.8/10,7.8/10,8.4/10,8.4/10
Mini Mansion in Hollywood Hills,7.6 out of 10 Good,331 verified reviews,7.6/10,8.0/10,7.6/10,7.4/10,8.0/10
Historic City view Suites,5.0 out of 10,28 verified reviews,5.6/10,5.4/10,5.6/10,4.6/10,5.2/10
"Sunset West Hotel, SureStay Collection by Best Western",7.4 out of 10 Good,"1,000 verified reviews",7.6/10,7.8/10,7.6/10,7.2/10,7.8/10
"Hotel PER LA, an Autograph Collection by Marriott",9.0 out of 10 Wonderful,456 verified reviews,9.4/10,9.2/10,9.0/10,9.2/10,8.8/10
Comfort Inn Near Old Town Pasadena in Eagle Rock,8.6 out of 10 Excellent,"1,000 verified reviews",8.8/10,8.8/10,8.4/10,8.4/10,8.4/10
Knights Inn Downtown Los Angeles,7.4 out of 10 Good,"1,001 verified reviews",7.6/10,8.0/10,8.0/10,7.0/10,7.6/10
"SLS Hotel, a Luxury Collection Hotel, Beverly Hills",8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,8.8/10,8.2/10,8.8/10,8.6/10
"AC Hotel Downtown Los Angeles, a Marriott Hotel",8.2 out of 10 Very good,319 verified reviews,9.0/10,8.6/10,8.2/10,9.0/10,8.4/10
Renaissance Los Angeles Airport Hotel,8.2 out of 10 Very good,"2,234 verified reviews",8.8/10,8.6/10,8.0/10,8.4/10,8.4/10
"Starlight Inn, Valley Blvd - Downtown LA",6.2 out of 10 Good,169 verified reviews,6.4/10,6.6/10,6.0/10,6.0/10,5.6/10
Cameo Beverly Hills,8.2 out of 10 Very good,"1,000 verified reviews",8.8/10,8.6/10,7.8/10,8.4/10,7.8/10
"Kimpton Hotel Wilshire, an IHG Hotel",8.4 out of 10 Very good,"1,002 verified reviews",9.0/10,8.8/10,8.0/10,8.8/10,8.6/10
Sheraton Grand Los Angeles,8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.0/10,8.6/10,9.0/10,8.8/10
Brentwood Inn,9.0 out of 10 Wonderful,759 verified reviews,9.4/10,9.4/10,8.4/10,9.0/10,8.6/10
Magic Castle Hotel,9.2 out of 10 Wonderful,"1,001 verified reviews",9.0/10,9.8/10,9.4/10,8.4/10,8.8/10
"Holiday Inn Express Los Angeles Downtown West, an IHG Hotel",8.0 out of 10 Very good,"1,000 verified reviews",8.2/10,8.6/10,7.8/10,7.8/10,8.2/10
"Tilt Hotel Universal/Hollywood, Ascend Hotel Collection",7.4 out of 10 Good,"1,000 verified reviews",7.8/10,7.8/10,7.0/10,7.4/10,7.4/10
Economy Inn Hollywood,6.6 out of 10 Good,541 verified reviews,6.4/10,6.8/10,6.2/10,6.0/10,6.4/10
Vibe Hotel West Hollywood,6.6 out of 10 Good,89 verified reviews,7.4/10,7.8/10,6.6/10,6.6/10,6.8/10
Courtyard Los Angeles L.A. LIVE,8.6 out of 10 Excellent,961 verified reviews,9.2/10,9.0/10,8.0/10,9.0/10,8.6/10
"Kimpton Hotel Palomar Los Angeles Beverly Hills, an IHG Hotel",8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,8.8/10,8.2/10,8.8/10,8.6/10
W Los Angeles - West Beverly Hills,8.2 out of 10 Very good,770 verified reviews,8.6/10,8.6/10,8.4/10,8.2/10,8.4/10
Mid City inn,8.2 out of 10 Very good,27 verified reviews,8.2/10,8.4/10,6.8/10,8.0/10,7.6/10
Hollywood Guest Inn,5.6 out of 10,607 verified reviews,5.8/10,6.0/10,5.2/10,5.4/10,5.6/10
Residence Inn Los Angeles L.A. LIVE,9.0 out of 10 Wonderful,"1,002 verified reviews",9.2/10,9.2/10,9.0/10,9.2/10,9.0/10
Hilltop Motor Inn,4.0 out of 10,8 verified reviews,4.4/10,5.4/10,4.0/10,4.4/10,5.4/10
Starlight Inn La Brea,5.8 out of 10,220 verified reviews,5.6/10,6.6/10,5.0/10,5.6/10,5.4/10
"The Ritz-Carlton, Los Angeles",9.0 out of 10 Wonderful,513 verified reviews,9.4/10,9.2/10,8.8/10,9.2/10,9.2/10
The Broadway Inn,7.4 out of 10 Good,35 verified reviews,7.2/10,8.0/10,6.0/10,7.6/10,7.8/10
W Hollywood,7.8 out of 10 Good,"1,001 verified reviews",8.4/10,8.4/10,7.8/10,8.0/10,7.8/10
Travelodge by Wyndham Commerce Los Angeles Area,6.8 out of 10 Good,"1,000 verified reviews",7.0/10,7.2/10,6.8/10,6.6/10,6.8/10
Antonio Hotel,4.8 out of 10,984 verified reviews,5.2/10,5.2/10,4.4/10,4.6/10,4.6/10
Shelter Hotel Los Angeles,7.8 out of 10 Good,"1,001 verified reviews",8.4/10,8.2/10,8.0/10,7.8/10,8.0/10
Downtown LA Stylish Bedrooms,9.0 out of 10 Wonderful,18 verified reviews,9.4/10,8.4/10,8.8/10,9.4/10,8.8/10
Hollywood Palms Inn and Suites,5.4 out of 10,690 verified reviews,5.6/10,5.6/10,5.2/10,5.2/10,5.6/10
Los Angeles Inn & Suites - LAX,5.4 out of 10,212 verified reviews,5.0/10,6.2/10,4.6/10,5.0/10,4.8/10
Relax Inn Motel,6.6 out of 10 Good,218 verified reviews,6.8/10,7.2/10,5.6/10,6.2/10,6.4/10
Travel Inn,6.8 out of 10 Good,359 verified reviews,7.0/10,7.0/10,6.8/10,6.4/10,6.8/10
Value Inn Hollywood,6.6 out of 10 Good,604 verified reviews,6.6/10,7.0/10,6.8/10,6.0/10,6.8/10
Little Tokyo Hotel,7.2 out of 10 Good,207 verified reviews,7.2/10,8.0/10,6.8/10,6.6/10,7.2/10
Dunes Inn Wilshire - In Los Angeles (Downtown Los Angeles),8.0 out of 10 Very good,"1,002 verified reviews",8.2/10,8.0/10,7.6/10,7.6/10,7.8/10
Hollywood City Inn,7.8 out of 10 Good,"1,001 verified reviews",8.0/10,8.0/10,7.4/10,7.6/10,7.4/10
Dunes Inn Sunset,8.6 out of 10 Excellent,"1,001 verified reviews",8.8/10,8.8/10,7.8/10,8.2/10,8.2/10
Hollywood Roxy Hotel,5.2 out of 10,481 verified reviews,5.4/10,5.8/10,4.0/10,4.8/10,5.0/10
Hollywood Hills Hotel,7.2 out of 10 Good,228 verified reviews,7.8/10,6.8/10,6.6/10,7.2/10,7.4/10
Lincoln Park Motel,7.4 out of 10 Good,379 verified reviews,7.6/10,8.0/10,6.6/10,7.2/10,7.0/10
City Center Hotel,4.4 out of 10,877 verified reviews,4.2/10,5.4/10,4.4/10,3.8/10,4.6/10
Abode Los Angeles - Downtown South Park,7.6 out of 10 Good,43 verified reviews,8.6/10,9.0/10,8.0/10,7.8/10,8.4/10
Normandie Hostel,9.0 out of 10 Wonderful,6 verified reviews,8.8/10,8.8/10,8.8/10,9.0/10,8.6/10
PodShare Los Feliz - Hostel,7.6 out of 10 Good,67 verified reviews,7.8/10,7.8/10,6.6/10,7.8/10,8.2/10
PodShare - Hostel,8.0 out of 10 Very good,105 verified reviews,7.6/10,8.6/10,7.4/10,8.0/10,8.6/10
Samesun Hollywood - Hostel,8.0 out of 10 Very good,698 verified reviews,8.0/10,8.4/10,7.6/10,7.8/10,7.4/10
Arroyo Vista Inn,8.8 out of 10 Excellent,284 verified reviews,9.0/10,8.8/10,8.4/10,8.8/10,9.2/10
Lanai Motel,6.6 out of 10 Good,18 verified reviews,7.2/10,8.2/10,5.2/10,6.4/10,7.4/10
GreenTree Inn & Suites Alhambra,9.0 out of 10 Wonderful,"1,002 verified reviews",9.0/10,9.2/10,8.8/10,8.8/10,9.0/10
Travelodge Inn & Suites by Wyndham Bell Los Angeles Area,7.8 out of 10 Good,"1,000 verified reviews",7.8/10,8.2/10,7.4/10,7.8/10,7.6/10
Comfort Inn Monterey Park - Los Angeles,7.8 out of 10 Good,"1,000 verified reviews",8.2/10,7.6/10,8.4/10,7.6/10,8.4/10
Chariot Inn Glendale - Pasadena,8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,7.8/10,8.0/10,8.2/10
Vagabond Inn Glendale,8.2 out of 10 Very good,291 verified reviews,8.4/10,8.2/10,7.4/10,8.0/10,8.0/10
Hotel Xilo Glendale,7.6 out of 10 Good,"1,000 verified reviews",7.8/10,8.2/10,7.0/10,7.4/10,7.4/10
Hampton Inn & Suites Los Angeles - Glendale,8.8 out of 10 Excellent,989 verified reviews,9.0/10,9.0/10,8.6/10,8.8/10,8.6/10
"Holiday Inn Express And Suites Glendale Downtown, an IHG Hotel",9.0 out of 10 Wonderful,231 verified reviews,9.4/10,9.0/10,9.2/10,9.4/10,9.2/10
Tilbury Inn,6.6 out of 10 Good,195 verified reviews,6.8/10,7.0/10,6.2/10,6.8/10,5.6/10
Glenridge Inn Glendale - Pasadena,7.8 out of 10 Good,"1,002 verified reviews",8.0/10,8.0/10,7.4/10,7.6/10,8.0/10
Courtyard by Marriott Los Angeles Monterey Park,8.8 out of 10 Excellent,982 verified reviews,9.2/10,9.0/10,8.8/10,9.2/10,9.0/10
Hilton Garden Inn Los Angeles Montebello,8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,8.8/10,8.6/10,8.8/10,8.8/10
Residence Inn by Marriott Los Angeles Glendale,9.2 out of 10 Wonderful,324 verified reviews,9.4/10,9.2/10,9.2/10,9.6/10,9.0/10
Home2 Suites by Hilton Los Angeles Montebello,8.8 out of 10 Excellent,"1,013 verified reviews",9.0/10,9.0/10,8.8/10,9.2/10,9.0/10
Hyatt Place Glendale / Los Angeles,8.8 out of 10 Excellent,"1,171 verified reviews",9.2/10,9.2/10,8.8/10,9.0/10,8.8/10
Brand Plaza Hotel,8.2 out of 10 Very good,"1,004 verified reviews",8.8/10,8.8/10,7.4/10,8.0/10,8.2/10
Kings Lodge Motel,6.0 out of 10 Good,137 verified reviews,5.6/10,6.8/10,5.2/10,5.2/10,6.2/10
Glendale Express Hotel Los Angeles,8.0 out of 10 Very good,"2,208 verified reviews",8.2/10,8.4/10,7.2/10,7.4/10,7.8/10
El Grande Motel,5.8 out of 10,95 verified reviews,5.6/10,6.0/10,6.2/10,5.6/10,5.6/10
Days Inn by Wyndham Alhambra CA,7.8 out of 10 Good,"1,001 verified reviews",8.0/10,8.2/10,7.2/10,7.4/10,7.8/10
Embassy Suites Los Angeles - Glendale,8.0 out of 10 Very good,"1,128 verified reviews",8.0/10,8.2/10,8.2/10,7.8/10,8.0/10
Baymont by Wyndham Monterey Park,8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,8.0/10,8.0/10,8.0/10
Hilton Los Angeles North/Glendale,8.0 out of 10 Very good,"1,003 verified reviews",8.4/10,8.4/10,7.6/10,7.8/10,8.0/10
Quality Inn & Suites Bell Gardens - Los Angeles,6.0 out of 10 Good,"1,000 verified reviews",5.8/10,7.0/10,5.8/10,5.2/10,6.0/10
"The Glenmark, Glendale, a Tribute Portfolio Hotel",9.0 out of 10 Wonderful,171 verified reviews,9.6/10,9.2/10,9.2/10,9.6/10,9.2/10
The Charlie Hotel,9.4 out of 10 Exceptional,236 verified reviews,9.4/10,9.2/10,9.8/10,9.4/10,10.0/10
Rodeway Inn South Gate - Los Angeles South,9.0 out of 10 Wonderful,222 verified reviews,9.0/10,8.8/10,9.0/10,9.2/10,8.8/10
Sunset Tower Hotel,9.2 out of 10 Wonderful,394 verified reviews,9.4/10,9.2/10,9.2/10,9.0/10,8.8/10
"Langham Huntington, Pasadena, Los Angeles",9.2 out of 10 Wonderful,"1,002 verified reviews",9.6/10,9.4/10,9.0/10,9.2/10,9.0/10
Andaz West Hollywood - a concept by Hyatt,8.8 out of 10 Excellent,"1,000 verified reviews",9.2/10,9.2/10,8.4/10,8.8/10,8.6/10
Ramada Plaza by Wyndham West Hollywood Hotel & Suites,7.0 out of 10 Good,"1,051 verified reviews",7.0/10,7.2/10,6.4/10,6.6/10,7.0/10
1 Hotel West Hollywood,8.6 out of 10 Excellent,637 verified reviews,9.2/10,8.6/10,8.4/10,9.2/10,9.2/10
GreenTree Pasadena Inn,7.4 out of 10 Good,"1,001 verified reviews",7.6/10,8.0/10,7.0/10,7.2/10,7.0/10
Chamberlain West Hollywood,8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,8.8/10,8.4/10,8.4/10,8.6/10
Extended Stay America Suites Los Angeles Glendale,6.6 out of 10 Good,"1,000 verified reviews",6.8/10,7.2/10,6.2/10,6.6/10,6.4/10
Del Mar Motel,6.4 out of 10 Good,465 verified reviews,6.6/10,6.8/10,5.6/10,6.4/10,6.4/10
Hilton Los Angeles/San Gabriel,8.4 out of 10 Very good,"1,000 verified reviews",8.6/10,8.8/10,8.2/10,8.2/10,8.4/10
"The Shay, a Destination by Hyatt Hotel",9.4 out of 10 Exceptional,119 verified reviews,9.8/10,9.4/10,9.6/10,9.8/10,9.4/10
Hotel 850 SVB West Hollywood at Beverly Hills,9.6 out of 10 Exceptional,315 verified reviews,10.0/10,9.6/10,9.2/10,9.8/10,9.6/10
"Hotel Dena, Pasadena Los Angeles, a Tribute Portfolio Hotel",8.6 out of 10 Excellent,114 verified reviews,9.0/10,8.8/10,8.2/10,8.6/10,8.4/10
"Kimpton La Peer Hotel West Hollywood, an IHG Hotel",8.4 out of 10 Very good,379 verified reviews,9.0/10,8.6/10,8.0/10,8.8/10,8.2/10
Jewel City Inn,7.6 out of 10 Good,519 verified reviews,7.6/10,7.8/10,7.0/10,7.4/10,7.6/10
Courtyard by Marriott Pasadena/Old Town,8.8 out of 10 Excellent,58 verified reviews,8.8/10,9.2/10,9.0/10,8.8/10,9.0/10
Hilton Pasadena,8.6 out of 10 Excellent,"1,001 verified reviews",9.2/10,9.0/10,8.4/10,8.8/10,8.8/10
Residence Inn Los Angeles Pasadena/Old Town,9.0 out of 10 Wonderful,543 verified reviews,9.4/10,9.2/10,8.8/10,9.4/10,8.8/10
Quality Inn & Suites Montebello - Los Angeles,6.4 out of 10 Good,"1,000 verified reviews",6.4/10,7.2/10,6.0/10,6.0/10,6.0/10
Sheraton Los Angeles San Gabriel,9.0 out of 10 Wonderful,"1,002 verified reviews",9.0/10,9.0/10,9.0/10,9.2/10,9.0/10
Hyatt Place Pasadena,9.0 out of 10 Wonderful,"1,004 verified reviews",9.4/10,9.2/10,9.0/10,9.4/10,9.0/10
Glen Capri Inn & Suites - Burbank Universal,6.8 out of 10 Good,"1,000 verified reviews",6.6/10,7.6/10,6.0/10,6.6/10,6.4/10
The West Hollywood EDITION,8.8 out of 10 Excellent,176 verified reviews,9.4/10,9.0/10,8.8/10,9.2/10,9.2/10
Hilton Los Angeles/Universal City,8.6 out of 10 Excellent,"2,518 verified reviews",9.0/10,8.8/10,8.4/10,8.8/10,8.6/10
SIXTY Beverly Hills,7.4 out of 10 Good,"1,000 verified reviews",8.0/10,8.0/10,7.2/10,7.6/10,7.8/10
Travelodge by Wyndham Lynwood,7.4 out of 10 Good,963 verified reviews,7.8/10,7.6/10,6.8/10,7.2/10,7.4/10
